from,to,action,p(s'a|s)
80,80,5,0.07588075880758807
80,80,4,0.0040650406504065045
80,80,2,0.0040650406504065045
80,8392,3,0.11653116531165311
80,9620,3,0.5311653116531165
80,1722,3,0.16395663956639567
80,9472,5,0.017615176151761516
80,9472,4,0.0013550135501355014
80,10503,1,0.02168021680216802
80,7515,0,0.013550135501355014
80,9236,5,0.01084010840108401
80,11508,1,0.005420054200542005
80,12409,0,0.0040650406504065045
80,13461,1,0.009485094850948509
80,10866,1,0.008130081300813009
80,1198,0,0.008130081300813009
80,12069,3,0.0013550135501355014
80,8339,1,0.0013550135501355014
80,5732,1,0.0013550135501355014
81,13076,2,0.2
81,4079,5,0.2
81,10658,2,0.2
81,5329,1,0.2
81,5893,1,0.2
82,11224,1,1.0
83,83,1,0.19607843137254902
83,13627,1,0.3333333333333333
83,13627,5,0.0196078431372549
83,40,0,0.19607843137254902
83,5098,0,0.0196078431372549
83,3164,1,0.0196078431372549
83,5530,0,0.09803921568627451
83,5408,0,0.0196078431372549
83,12163,0,0.0196078431372549
83,3671,0,0.0196078431372549
83,6501,3,0.0196078431372549
83,8482,0,0.0196078431372549
83,11356,3,0.0196078431372549
84,9509,2,0.10638297872340426
84,9509,3,0.00851063829787234
84,14297,0,0.00425531914893617
84,84,1,0.6510638297872341
84,84,5,0.11063829787234042
84,84,4,0.00425531914893617
84,2606,3,0.00425531914893617
84,3474,1,0.06382978723404255
84,3474,5,0.00425531914893617
84,12619,3,0.00425531914893617
84,9091,0,0.02127659574468085
84,3221,2,0.00851063829787234
84,3679,0,0.00425531914893617
84,10996,1,0.00425531914893617
85,1448,5,0.0594059405940594
85,1448,2,0.039603960396039604
85,85,2,0.2871287128712871
85,85,5,0.33663366336633666
85,994,5,0.07920792079207921
85,994,2,0.0891089108910891
85,11213,3,0.0297029702970297
85,11066,3,0.009900990099009901
85,13828,3,0.019801980198019802
85,12887,2,0.009900990099009901
85,11396,0,0.019801980198019802
85,830,5,0.019801980198019802
86,3514,1,1.0
87,87,4,0.1111111111111111
87,87,5,0.5555555555555556
87,6641,1,0.1111111111111111
87,8096,1,0.1111111111111111
87,3185,5,0.1111111111111111
88,88,2,0.5
88,2430,5,0.5
89,4587,3,0.5
89,12779,2,0.5
90,12120,0,1.0
91,91,5,0.5
91,12208,3,0.5
92,92,3,0.2
92,1927,2,0.1
92,132,5,0.5
92,2783,3,0.1
92,977,1,0.1
93,5713,1,0.875
93,14439,1,0.125
94,970,5,1.0
95,12571,5,0.3333333333333333
95,10037,5,0.11764705882352941
95,11642,5,0.11764705882352941
95,95,4,0.0196078431372549
95,95,3,0.0784313725490196
95,13721,2,0.29411764705882354
95,12379,5,0.0196078431372549
95,13897,1,0.0196078431372549
96,1375,5,0.36595067621320604
