from,to,action,p(s'a|s)
5,2425,3,0.125
5,3558,2,0.125
5,4123,0,0.125
6,6450,2,1.0
7,2495,0,1.0
8,862,1,0.25
8,8,3,0.5
8,4555,0,0.25
9,2565,1,0.6666666666666666
9,2565,4,0.3333333333333333
10,3054,2,0.06661786237188873
10,3054,0,0.03684724255734505
10,5283,1,0.03513909224011713
10,10,4,0.16251830161054173
10,10,0,0.08760370912640313
10,10,3,0.15885797950219618
10,5667,5,0.06783796974133724
10,4965,5,0.06246949731576379
10,5779,4,0.005856515373352855
10,5779,0,0.01268911664226452
10,5779,3,0.00634455832113226
10,2155,0,0.012201073694485115
10,6268,1,0.018301610541727673
10,4174,5,0.004880429477794046
10,6096,5,0.02318204001952172
10,1245,2,0.0012201073694485115
10,4074,2,0.0019521717911176184
10,566,1,0.0317227916056613
10,3264,0,0.004148365056124939
10,2095,2,0.08687164470473402
10,803,1,0.06612981942410932
10,5370,1,0.007808687164470474
10,4904,0,0.003904343582235237
10,1,1,0.0009760858955588092
10,6455,2,0.0029282576866764276
10,5916,1,0.002440214738897023
10,1034,5,0.001708150317227916
10,3084,2,0.0004880429477794046
10,5036,0,0.0014641288433382138
10,4475,5,0.0004880429477794046
10,4252,1,0.0036603221083455345
10,5315,2,0.0002440214738897023
10,2936,2,0.0004880429477794046
10,4686,3,0.0014641288433382138
10,4686,4,0.0014641288433382138
10,49,5,0.007808687164470474
10,3548,0,0.0021961932650073207
10,1439,2,0.0007320644216691069
10,5984,2,0.0002440214738897023
10,1340,2,0.0004880429477794046
10,1746,2,0.0012201073694485115
10,2564,2,0.0019521717911176184
10,1974,2,0.0007320644216691069
10,2953,2,0.0002440214738897023
10,4278,1,0.0002440214738897023
10,5086,2,0.0002440214738897023
10,1841,2,0.0002440214738897023
10,3453,5,0.0002440214738897023
10,3883,2,0.0002440214738897023
10,5213,1,0.0002440214738897023
11,4483,0,0.3333333333333333
11,3579,1,0.3333333333333333
11,3579,5,0.3333333333333333
12,12,5,0.5
12,5980,4,0.5
13,6514,5,1.0
14,14,4,0.1111111111111111
14,14,5,0.14814814814814814
14,14,0,0.1111111111111111
14,14,3,0.09259259259259259
14,2230,3,0.018518518518518517
14,2230,4,0.018518518518518517
14,2230,5,0.018518518518518517
14,6528,3,0.05555555555555555
14,2950,1,0.1111111111111111
14,3558,2,0.2037037037037037
14,6616,1,0.07407407407407407
14,5051,3,0.018518518518518517
14,484,3,0.018518518518518517
15,6487,5,1.0
16,5528,5,1.0
17,17,2,0.25
17,17,5,0.5
17,4291,1,0.25
18,1170,2,1.0
19,3926,3,0.13953488372093023
19,1292,1,0.13953488372093023
19,19,2,0.09302325581395349
19,19,4,0.06976744186046512
19,19,5,0.046511627906976744
19,1285,4,0.13953488372093023
19,1285,5,0.11627906976744186
19,1285,0,0.09302325581395349
19,4376,3,0.11627906976744186
19,421,1,0.046511627906976744
20,20,2,0.2857142857142857
20,3720,2,0.2857142857142857
20,2655,5,0.14285714285714285
20,705,5,0.14285714285714285
20,3093,1,0.14285714285714285
21,2176,2,0.18181818181818182
21,21,4,0.09090909090909091
21,21,5,0.09090909090909091
21,21,1,0.09090909090909091
21,6460,3,0.09090909090909091
21,3634,3,0.18181818181818182
21,4398,4,0.09090909090909091
21,4398,5,0.09090909090909091
21,6267,3,0.09090909090909091
22,5321,2,0.07317073170731707
22,631,1,0.12195121951219512
22,1595,3,0.07317073170731707
22,824,0,0.17073170731707318
22,1795,5,0.04878048780487805
22,1795,4,0.024390243902439025
22,724,1,0.04878048780487805
22,22,5,0.17073170731707318
22,22,4,0.04878048780487805
22,22,1,0.024390243902439025
22,4695,2,0.024390243902439025
22,1235,3,0.024390243902439025
22,4347,5,0.024390243902439025
22,4347,4,0.024390243902439025
22,2441,1,0.024390243902439025
22,2225,0,0.07317073170731707
23,23,4,0.5
23,5164,3,0.5
24,24,4,0.16666666666666666
24,24,0,0.16666666666666666
24,832,1,0.16666666666666666
24,4216,2,0.16666666666666666
24,5874,3,0.16666666666666666
24,5044,2,0.16666666666666666
25,25,2,0.13333333333333333
25,25,0,0.2
25,25,4,0.06666666666666667
25,238,3,0.26666666666666666
25,6270,1,0.26666666666666666
25,5455,2,0.06666666666666667
26,4139,0,0.13333333333333333
26,26,5,0.06666666666666667
26,26,4,0.13333333333333333
26,26,3,0.06666666666666667
26,6431,4,0.06666666666666667
26,3990,5,0.13333333333333333
26,4077,5,0.06666666666666667
26,1813,2,0.06666666666666667
