from,to,action,p(s'a|s)
33,79,2,0.15757575757575756
33,458,1,0.030303030303030304
33,95,3,0.04242424242424243
33,387,0,0.15151515151515152
33,387,4,0.1696969696969697
33,387,5,0.16363636363636364
33,341,1,0.03636363636363636
33,1705,2,0.012121212121212121
33,2051,1,0.030303030303030304
33,37,1,0.006060606060606061
33,33,0,0.03636363636363636
33,33,5,0.030303030303030304
33,33,4,0.01818181818181818
33,902,1,0.006060606060606061
34,34,3,0.16666666666666666
34,814,4,0.16666666666666666
34,2423,4,0.5
34,2423,2,0.16666666666666666
35,2264,0,1.0
36,2369,1,0.4
36,36,3,0.2
36,315,0,0.2
36,556,5,0.2
37,1167,0,0.022708674304418985
37,224,3,0.16202945990180032
37,224,2,0.0036824877250409165
37,929,0,0.1270458265139116
37,37,2,0.15855155482815056
37,37,4,0.17000818330605566
37,37,5,0.1632569558101473
37,37,0,0.005523731587561375
37,2343,1,0.09369885433715221
37,1286,1,0.054009819967266774
37,609,0,0.004705400981996726
37,902,0,0.006751227495908347
37,33,0,0.0038870703764320785
37,387,0,0.0014320785597381341
37,2670,1,0.0006137479541734861
37,2051,4,0.0026595744680851063
37,2051,5,0.0020458265139116204
37,2051,2,0.0022504091653027824
37,1368,1,0.011661211129296236
37,799,3,0.0018412438625204583
37,2033,1,0.0006137479541734861
37,303,1,0.00020458265139116204
37,341,0,0.00020458265139116204
37,1757,3,0.00020458265139116204
37,458,0,0.00020458265139116204
37,1044,0,0.00020458265139116204
38,1271,1,0.0425531914893617
38,297,5,0.02127659574468085
38,38,4,0.2978723404255319
38,38,3,0.10638297872340426
38,656,2,0.2127659574468085
38,844,5,0.02127659574468085
38,763,0,0.02127659574468085
38,591,0,0.0425531914893617
38,2022,5,0.02127659574468085
38,700,1,0.0425531914893617
38,1107,5,0.02127659574468085
38,968,0,0.10638297872340426
38,811,0,0.0425531914893617
39,1948,3,0.25
39,454,0,0.5
39,2544,1,0.25
40,1688,0,1.0
41,2035,5,0.5
41,620,5,0.5
42,2154,0,1.0
43,43,5,0.8
43,2408,0,0.2
44,44,4,0.5
44,1322,1,0.5
45,1356,0,0.19047619047619047
45,45,5,0.14285714285714285
45,45,2,0.23809523809523808
45,45,4,0.19047619047619047
45,2641,1,0.09523809523809523
45,1844,3,0.14285714285714285
46,1265,3,0.25
46,33,4,0.25
46,33,5,0.25
46,1705,2,0.25
47,2482,4,0.2
47,2047,1,0.2
47,47,4,0.4
47,1599,0,0.2
48,1883,1,0.1858108108108108
48,2061,3,0.125
48,1009,0,0.13175675675675674
48,715,4,0.14527027027027026
48,715,2,0.13175675675675674
48,2111,5,0.17229729729729729
48,2399,0,0.02364864864864865
48,48,4,0.02364864864864865
48,48,2,0.02027027027027027
48,2430,3,0.016891891891891893
48,2411,5,0.013513513513513514
48,2463,1,0.010135135135135136
49,49,2,0.1506849315068493
49,49,0,0.0136986301369863
49,49,5,0.0958904109589041
49,49,4,0.2054794520547945
49,49,3,0.0958904109589041
49,2266,1,0.136986301369863
49,1946,1,0.0273972602739726
49,2008,0,0.0273972602739726
49,2008,2,0.0136986301369863
49,2008,3,0.0136986301369863
49,2064,0,0.2054794520547945
49,1796,0,0.0136986301369863
50,2532,5,0.2
50,2532,4,0.2
50,50,2,0.2
50,50,4,0.2
50,83,0,0.2
51,2255,2,1.0
